Ticker,Company,Segment,Exchange,Weighting (%)
SZSE: 000661,Chang Chun High and New Technology Industry (Group),Health Care,Shenzhen,0.233
SZSE: 000166,Shenwan Hongyuan,Financials,Shenzhen,0.232
SSE: 600426,Shandong Hualu-Hengsheng Chemical,Materials,Shanghai,0.229
SSE: 600015,Hua Xia Bank,Financials,Shanghai,0.226
SZSE: 300782,Maxscend Microelectronics,Information Technology,Shenzhen,0.225
SSE: 601377,Industrial Securities,Financials,Shanghai,0.225
SSE: 601186,China Railway Construction,Industrials,Shanghai,0.224
SZSE: 000157,Zoomlion Heavy Industry Science & Technology,Industrials,Shenzhen,0.223
SZSE: 002241,GoerTek,Information Technology,Shenzhen,0.223
SSE: 600926,Bank of Hangzhou,Financials,Shanghai,0.221
SSE: 600547,Shandong Gold-Mining,Materials,Shanghai,0.22
SSE: 600011,Huaneng Power International,Utilities,Shanghai,0.218
SZSE: 000977,Inspur Electronic Information Industry,Information Technology,Shenzhen,0.216
SZSE: 002252,Shanghai RAAS Blood Products,Health Care,Shenzhen,0.215
SSE: 600674,Sichuan Chuantou Energy,Utilities,Shanghai,0.214
SSE: 603799,ZHEJIANG HUAYOU COBALT,Materials,Shanghai,0.213
SSE: 600584,JCET,Information Technology,Shanghai,0.21
SSE: 600570,Hundsun Technologies,Information Technology,Shanghai,0.208
SZSE: 002236,Zhejiang Dahua Technology,Information Technology,Shenzhen,0.205
SZSE: 002179,AVIC Jonhon Optronic Technology,Information Technology,Shenzhen,0.204
SZSE: 000596,Anhui Gujing Distillery,Consumer Staples,Shenzhen,0.201
SZSE: 002311,Guangdong Haid Group,Consumer Staples,Shenzhen,0.201
SSE: 600188,Yanzhou Coal Mining,Energy,Shanghai,0.2
SZSE: 300896,IMEIK TECHNOLOGY DEVELOPMENT,Health Care,Shenzhen,0.198
